PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29471214","Joint associations of β-amyloidosis and cortical thickness with cognition","Knopman DS, Lundt ES, Therneau TM, Vemuri P, Lowe VJ, Kantarci K, Gunter JL, Senjem ML, Mielke MM, Machulda MM, Roberts RO, Boeve BF, Jones DT, Petersen RC, Jack CR Jr.","Neurobiol Aging. 2018 May;65:121-131. doi: 10.1016/j.neurobiolaging.2018.01.017. Epub 2018 Feb 2.","Knopman DS","Neurobiol Aging","2018","2018/02/23","PMC5871603","NIHMS944628","10.1016/j.neurobiolaging.2018.01.017"
"35581935","Phenotyping in heart failure with preserved ejection fraction: A key to find effective treatment","Zawadzka MM, Grabowski M, Kapłon-Cieślicka A.","Adv Clin Exp Med. 2022 Oct;31(10):1163-1172. doi: 10.17219/acem/149728.","Zawadzka MM","Adv Clin Exp Med","2022","2022/05/18","","","10.17219/acem/149728"
"41898891","Exploring the MicroRNA Landscape in Cardiac Amyloidosis: Molecular Insights and Clinical Applications","Kontaraki JE, Plevritaki A, Sallo A, Fragkiadakis K, Kallergis E, Zacharis E, Kopidakis J, Kampanieris E, Achladianaki S, Papakosta V, Simantirakis E, Marketou ME.","Genes (Basel). 2026 Mar 23;17(3):356. doi: 10.3390/genes17030356.","Kontaraki JE","Genes (Basel)","2026","2026/03/28","PMC13027005","","10.3390/genes17030356"
"30273552","Alzheimer's disease (AD) therapeutics - 2: Beyond amyloid - Re-defining AD and its causality to discover effective therapeutics","Mullane K, Williams M.","Biochem Pharmacol. 2018 Dec;158:376-401. doi: 10.1016/j.bcp.2018.09.027. Epub 2018 Sep 29.","Mullane K","Biochem Pharmacol","2018","2018/10/02","","","10.1016/j.bcp.2018.09.027"
"38243591","Limitations of apical sparing pattern in cardiac amyloidosis: a multicentre echocardiographic study","Cotella J, Randazzo M, Maurer MS, Helmke S, Scherrer-Crosbie M, Soltani M, Goyal A, Zareba K, Cheng R, Kirkpatrick JN, Yogeswaran V, Kitano T, Takeuchi M, Fernandes F, Hotta VT, Campos Vieira ML, Elissamburu P, Ronderos R, Prado A, Koutroumpakis E, Deswal A, Pursnani A, Sarswat N, Addetia K, Mor-Avi V, Asch FM, Slivnick JA, Lang RM.","Eur Heart J Cardiovasc Imaging. 2024 May 31;25(6):754-761. doi: 10.1093/ehjci/jeae021.","Cotella J","Eur Heart J Cardiovasc Imaging","2024","2024/01/20","","","10.1093/ehjci/jeae021"
"41098006","Artificial intelligence-based echocardiographic assessment for monitoring disease progression in transthyretin cardiac amyloidosis","Venneri L, Aimo A, Porcari A, Sezer I, Ioannou A, Sheikh A, Mansell J, Razvi Y, Iyer SB, Martinez-Naharro A, Bandera F, Lim SC, Frost M, Ezekowitz J, Lam CSP, Moody W, Whelan C, Lachmann H, Wechelakar A, Emdin M, Hawkins PN, Solomon SD, Gillmore JD, Fontana M.","Eur J Heart Fail. 2025 Dec;27(12):3392-3400. doi: 10.1002/ejhf.70073. Epub 2025 Oct 16.","Venneri L","Eur J Heart Fail","2025","2025/10/16","PMC12803646","","10.1002/ejhf.70073"
"36924194","Heart failure with preserved ejection fraction: relevance of a dedicated dyspnoea clinic","Verwerft J, Soens L, Wynants J, Meysman M, Jogani S, Plein D, Stroobants S, Herbots L, Verbrugge FH.","Eur Heart J. 2023 May 1;44(17):1544-1556. doi: 10.1093/eurheartj/ehad141.","Verwerft J","Eur Heart J","2023","2023/03/16","","","10.1093/eurheartj/ehad141"
"35404283","Views on the Desirability of Diagnosing Sporadic Cerebral Amyloid Angiopathy with Biological Evidence","Abdulrahman H, Smedinga M, Verbeek MM, Klijn CJM, Richard E, Perry M.","J Alzheimers Dis. 2022;87(2):807-816. doi: 10.3233/JAD-220052.","Abdulrahman H","J Alzheimers Dis","2022","2022/04/11","PMC9198748","","10.3233/JAD-220052"
"30623354","Left ventricular assessment in patients with systemic light chain amyloidosis: a 3-dimensional speckle tracking transthoracic echocardiographic study","Pradel S, Magne J, Jaccard A, Fadel BM, Boulogne C, Salemi VMC, Damy T, Aboyans V, Mohty D.","Int J Cardiovasc Imaging. 2019 May;35(5):845-854. doi: 10.1007/s10554-018-01524-2. Epub 2019 Jan 8.","Pradel S","Int J Cardiovasc Imaging","2019","2019/01/10","","","10.1007/s10554-018-01524-2"
"33039901","Evaluating resting-state BOLD variability in relation to biomarkers of preclinical Alzheimer's disease","Millar PR, Ances BM, Gordon BA, Benzinger TLS, Fagan AM, Morris JC, Balota DA.","Neurobiol Aging. 2020 Dec;96:233-245. doi: 10.1016/j.neurobiolaging.2020.08.007. Epub 2020 Aug 18.","Millar PR","Neurobiol Aging","2020","2020/10/11","PMC7877894","NIHMS1667958","10.1016/j.neurobiolaging.2020.08.007"
"31113759","Plasma amyloid β 40/42 ratio predicts cerebral amyloidosis in cognitively normal individuals at risk for Alzheimer's disease","Vergallo A, Mégret L, Lista S, Cavedo E, Zetterberg H, Blennow K, Vanmechelen E, De Vos A, Habert MO, Potier MC, Dubois B, Neri C, Hampel H; INSIGHT-preAD study group; Alzheimer Precision Medicine Initiative (APMI).","Alzheimers Dement. 2019 Jun;15(6):764-775. doi: 10.1016/j.jalz.2019.03.009. Epub 2019 May 18.","Vergallo A","Alzheimers Dement","2019","2019/05/23","","","10.1016/j.jalz.2019.03.009"
"35347453","Validity of cingulate-precuneus-temporo-parietal hypometabolism for single-subject diagnosis of biomarker-proven atypical variants of Alzheimer's Disease","Isella V, Crivellaro C, Formenti A, Musarra M, Pacella S, Morzenti S, Ferri F, Mapelli C, Gallivanone F, Guerra L, Appollonio I, Ferrarese C.","J Neurol. 2022 Aug;269(8):4440-4451. doi: 10.1007/s00415-022-11086-y. Epub 2022 Mar 26.","Isella V","J Neurol","2022","2022/03/29","PMC9293827","","10.1007/s00415-022-11086-y"
"40631729","Cardiac amyloidosis detection from a single echocardiographic video clip: a novel artificial intelligence-based screening tool","Slivnick JA, Hawkes W, Oliveira J, Woodward G, Akerman A, Gomez A, Hamza I, Desai VK, Barrett-O'Keefe Z, Grogan M, Dispenzieri A, Scott CG, Davison HN, Cotella J, Maurer M, Helmke S, Scherrer-Crosbie M, Soltani M, Goyal A, Zareba KM, Cheng RK, Kirkpatrick JN, Kitano T, Takeuchi M, Hotta VT, Campos Vieira ML, Elissamburu P, Ronderos RE, Prado A, Koutroumpakis E, Deswal A, Pursnani A, Sarswat N, Patel AR, Addetia K, Ruberg FL, Randazzo M, Asch FM, O'Driscoll J, Al-Roub N, Strom JB, Kidd L, Cuddy S, Upton R, Lang RM, Pellikka PA.","Eur Heart J. 2025 Oct 22;46(40):4090-4101. doi: 10.1093/eurheartj/ehaf387.","Slivnick JA","Eur Heart J","2025","2025/07/09","PMC12539910","","10.1093/eurheartj/ehaf387"
"29860944","Proteomics analysis identifies new markers associated with capillary cerebral amyloid angiopathy in Alzheimer's disease","Hondius DC, Eigenhuis KN, Morrema THJ, van der Schors RC, van Nierop P, Bugiani M, Li KW, Hoozemans JJM, Smit AB, Rozemuller AJM.","Acta Neuropathol Commun. 2018 Jun 4;6(1):46. doi: 10.1186/s40478-018-0540-2.","Hondius DC","Acta Neuropathol Commun","2018","2018/06/05","PMC5985582","","10.1186/s40478-018-0540-2"
"28922609","Serum Proteomic Variability Associated with Clinical Phenotype in Familial Transthyretin Amyloidosis (ATTRm)","Chan GG, Koch CM, Connors LH.","J Proteome Res. 2017 Nov 3;16(11):4104-4112. doi: 10.1021/acs.jproteome.7b00479. Epub 2017 Sep 27.","Chan GG","J Proteome Res","2017","2017/09/19","","","10.1021/acs.jproteome.7b00479"
"39341941","Amyloid precursor protein as a fibrosis marker in infants with biliary atresia","Kamp JC, Madadi-Sanjani O, Uecker M, Werlein C, Neubert L, Kübler JF, Obed M, Junge N, Welte T, Ruwisch J, Jonigk DD, Stolk J, Vieten G, Janciauskiene S.","Pediatr Res. 2025 Apr;97(5):1696-1705. doi: 10.1038/s41390-024-03582-w. Epub 2024 Sep 28.","Kamp JC","Pediatr Res","2025","2024/09/28","PMC12119347","","10.1038/s41390-024-03582-w"
"31985466","Validation of Plasma Proteomic Biomarkers Relating to Brain Amyloid Burden in the EMIF-Alzheimer's Disease Multimodal Biomarker Discovery Cohort","Westwood S, Baird AL, Anand SN, Nevado-Holgado AJ, Kormilitzin A, Shi L, Hye A, Ashton NJ, Morgan AR, Bos I, Vos SJB, Baker S, Buckley NJ, Ten Kate M, Scheltens P, Teunissen CE, Vandenberghe R, Gabel S, Meersmans K, Engelborghs S, De Roeck EE, Sleegers K, Frisoni GB, Blin O, Richardson JC, Bordet R, Molinuevo JL, Rami L, Wallin A, Kettunen P, Tsolaki M, Verhey F, Lléo A, Sala I, Popp J, Peyratout G, Martinez-Lage P, Tainta M, Johannsen P, Freund-Levi Y, Frölich L, Dobricic V, Legido-Quigley C, Bertram L, Barkhof F, Zetterberg H, Morgan BP, Streffer J, Visser PJ, Lovestone S.","J Alzheimers Dis. 2020;74(1):213-225. doi: 10.3233/JAD-190434.","Westwood S","J Alzheimers Dis","2020","2020/01/28","PMC7175945","","10.3233/JAD-190434"
"37022050","Data-independent acquisition mass spectrometry reveals comprehensive plasma protein profiles in the natural history of patients with hereditary transthyretin amyloidosis (ATTRv)","He S, He X, Pan R, Pan L, Lv X, Jin Y, Fan Y, Wang Y, Tian Z, Zhang S.","Expert Rev Proteomics. 2023 Jan-Mar;20(1-3):57-69. doi: 10.1080/14789450.2023.2195096. Epub 2023 Apr 6.","He S","Expert Rev Proteomics","2023","2023/04/06","","","10.1080/14789450.2023.2195096"
"41213043","Detecting Transthyretin Cardiac Amyloidosis With Artificial Intelligence: A Nonrandomized Clinical Trial","Jain SS, Sun T, Pierson E, Roedan Oliver F, Malta P, Castillo M, Wan N, Alishetti S, Hartman H, Finer J, Brown KL, Ramlall V, Tatonetti N, Elhadad N, Rodriguez F, Witteles R, Goyal P, Homma S, Einstein AJ, Maurer MS, Elias P, Poterucha TJ.","JAMA Cardiol. 2026 Feb 1;11(2):117-124. doi: 10.1001/jamacardio.2025.4591.","Jain SS","JAMA Cardiol","2026","2025/11/10","PMC12603941","","10.1001/jamacardio.2025.4591"
"29097623","DnaJ Heat Shock Protein Family B Member 9 Is a Novel Biomarker for Fibrillary GN","Dasari S, Alexander MP, Vrana JA, Theis JD, Mills JR, Negron V, Sethi S, Dispenzieri A, Highsmith WE Jr, Nasr SH, Kurtin PJ.","J Am Soc Nephrol. 2018 Jan;29(1):51-56. doi: 10.1681/ASN.2017030306. Epub 2017 Nov 2.","Dasari S","J Am Soc Nephrol","2018","2017/11/04","PMC5748911","","10.1681/ASN.2017030306"
"39890242","Artificial intelligence-guided detection of under-recognised cardiomyopathies on point-of-care cardiac ultrasonography: a multicentre study","Oikonomou EK, Vaid A, Holste G, Coppi A, McNamara RL, Baloescu C, Krumholz HM, Wang Z, Apakama DJ, Nadkarni GN, Khera R.","Lancet Digit Health. 2025 Feb;7(2):e113-e123. doi: 10.1016/S2589-7500(24)00249-8.","Oikonomou EK","Lancet Digit Health","2025","2025/01/31","PMC12084816","NIHMS2053089","10.1016/S2589-7500(24)00249-8"
"33087494","Neurofilament Light Chain as a Biomarker of Hereditary Transthyretin-Mediated Amyloidosis","Ticau S, Sridharan GV, Tsour S, Cantley WL, Chan A, Gilbert JA, Erbe D, Aldinc E, Reilly MM, Adams D, Polydefkis M, Fitzgerald K, Vaishnaw A, Nioi P.","Neurology. 2021 Jan 19;96(3):e412-e422. doi: 10.1212/WNL.0000000000011090. Epub 2020 Oct 21.","Ticau S","Neurology","2021","2020/10/22","PMC7884985","","10.1212/WNL.0000000000011090"
"29340569","Associations of the Top 20 Alzheimer Disease Risk Variants With Brain Amyloidosis","Apostolova LG, Risacher SL, Duran T, Stage EC, Goukasian N, West JD, Do TM, Grotts J, Wilhalme H, Nho K, Phillips M, Elashoff D, Saykin AJ; Alzheimer’s Disease Neuroimaging Initiative.","JAMA Neurol. 2018 Mar 1;75(3):328-341. doi: 10.1001/jamaneurol.2017.4198.","Apostolova LG","JAMA Neurol","2018","2018/01/18","PMC5885860","NIHMS953324","10.1001/jamaneurol.2017.4198"
"30091268","Progression of transthyretin (TTR) amyloidosis in donors and recipients after domino liver transplantation-a prospective single-center cohort study","Vollmar J, Schmid JC, Hoppe-Lotichius M, Barreiros AP, Azizi M, Emrich T, Geber C, Schad A, Weyer V, Otto G, Heise M, Mittler J, Birklein F, Lang H, Galle PR, Zimmermann T.","Transpl Int. 2018 Nov;31(11):1207-1215. doi: 10.1111/tri.13326. Epub 2018 Aug 28.","Vollmar J","Transpl Int","2018","2018/08/10","","","10.1111/tri.13326"
"28970295","Infectious and non-infectious complications in primary immunodeficiency disorders: an autopsy study from North India","Gupta K, Rawat A, Agrawal P, Jindal A, Nada R, Saikia B, Chan KW, Lau YL, Minz RW, Singh S.","J Clin Pathol. 2018 May;71(5):425-435. doi: 10.1136/jclinpath-2017-204708. Epub 2017 Sep 28.","Gupta K","J Clin Pathol","2018","2017/10/04","","","10.1136/jclinpath-2017-204708"
"28196416","Blood Proteomic Profiling in Inherited (ATTRm) and Acquired (ATTRwt) Forms of Transthyretin-Associated Cardiac Amyloidosis","Chan GG, Koch CM, Connors LH.","J Proteome Res. 2017 Apr 7;16(4):1659-1668. doi: 10.1021/acs.jproteome.6b00998. Epub 2017 Feb 23.","Chan GG","J Proteome Res","2017","2017/02/16","","","10.1021/acs.jproteome.6b00998"
"41775642","Isolated medial temporal lobe amnesia (MTLA): Predictor of cerebral amyloidosis or marker of phenotype-specific vulnerability?","Pin G, Horowitz T, Guedj E, Felician O, Ceccaldi M, Koric L.","Rev Neurol (Paris). 2026 Apr;182(4):290-300. doi: 10.1016/j.neurol.2026.02.149. Epub 2026 Mar 2.","Pin G","Rev Neurol (Paris)","2026","2026/03/03","","","10.1016/j.neurol.2026.02.149"
"41674454","Diagnosis of Cardiac Amyloidosis on Echocardiography Using Artificial Intelligence","Ioannou A, Khouri MG, Kitai T, Vemulapalli S, Hung CL, Lim SC, Frost M, Tee WW, Mansell J, Sheikh A, Venneri L, Razvi Y, Porcari A, Martinez-Naharro A, Rauf MU, Lachmann H, Hawkins PN, Wechelakar A, Moody W, Bandera F, Ezekowitz JA, Lam CSP, Solomon SD, Gillmore JD, Fontana M.","Circ Cardiovasc Imaging. 2026 Apr;19(4):e018991. doi: 10.1161/CIRCIMAGING.125.018991. Epub 2026 Feb 12.","Ioannou A","Circ Cardiovasc Imaging","2026","2026/02/12","PMC13095060","","10.1161/CIRCIMAGING.125.018991"
"41317182","Impact of disease-modifying therapy on [(99m)Tc]Tc-DPD SPECT/CT markers in transthyretin cardiac amyloidosis enabled by artificial intelligence","Spielvogel CP, Köfler M, Jiang Z, Ning J, Yu J, Haberl D, Kronberger C, Poledniczek M, Schmid LM, Kersting D, Ermolaev N, Eslam RB, Auer-Grumbach M, Binder C, Duca F, Nitsche C, Kastner J, Bergler-Klein J, Kammerlander AA, Hengstenberg C, Hacker M, Calabretta R, Rettl R.","Eur J Nucl Med Mol Imaging. 2026 Apr;53(5):3310-3324. doi: 10.1007/s00259-025-07673-6. Epub 2025 Nov 29.","Spielvogel CP","Eur J Nucl Med Mol Imaging","2026","2025/11/29","PMC13013229","","10.1007/s00259-025-07673-6"
"39967472","Mass Spectrometry-Based Proteomics in Clinical Diagnosis of Amyloidosis and Multiple Myeloma: A Review (2012-2024)","Kratka K, Sistik P, Olivkova I, Kusnierova P, Svagera Z, Stejskal D.","J Mass Spectrom. 2025 Mar;60(3):e5116. doi: 10.1002/jms.5116.","Kratka K","J Mass Spectrom","2025","2025/02/19","PMC11836596","","10.1002/jms.5116"
"38995306","A Case Report of Fibrillary Glomerulonephritis with Mild Albuminuria: A Viewpoint on Proteomics","Guerra-Torres XE.","Saudi J Kidney Dis Transpl. 2023 Sep 1;34(5):458-461. doi: 10.4103/1319-2442.397209. Epub 2024 Mar 11.","Guerra-Torres XE","Saudi J Kidney Dis Transpl","2023","2024/07/12","","","10.4103/1319-2442.397209"
"40009119","Advances and challenges in echocardiographic diagnosis and management of cardiac amyloidosis","Tian Y, Liu H.","Int J Cardiovasc Imaging. 2025 Jun;41(6):1021-1037. doi: 10.1007/s10554-025-03362-5. Epub 2025 Feb 26.","Tian Y","Int J Cardiovasc Imaging","2025","2025/02/26","","","10.1007/s10554-025-03362-5"
"41146005","Development and validation of an echocardiographic nomogram for identifying cardiac amyloidosis in patients with left ventricular hypertrophy","Liang S, Liu Z, Shi F, Chen L, Li D, Peng Y, He W, Du C, Huang H.","BMC Cardiovasc Disord. 2025 Oct 27;25(1):767. doi: 10.1186/s12872-025-04973-5.","Liang S","BMC Cardiovasc Disord","2025","2025/10/28","PMC12557862","","10.1186/s12872-025-04973-5"
"32493192","Exploring the Potential of Neuroproteomics in Alzheimer's Disease","Uddin MS, Kabir MT, Jakaria M, Sobarzo-Sánchez E, Barreto GE, Perveen A, Hafeez A, Bin-Jumah MN, Abdel-Daim MM, Ashraf GM.","Curr Top Med Chem. 2020;20(25):2263-2278. doi: 10.2174/1568026620666200603112030.","Uddin MS","Curr Top Med Chem","2020","2020/06/05","","","10.2174/1568026620666200603112030"
"36788617","Plasma extracellular vesicles reveal early molecular differences in amyloid positive patients with early-onset mild cognitive impairment","Cano A, Esteban-de-Antonio E, Bernuz M, Puerta R, García-González P, de Rojas I, Olivé C, Pérez-Cordón A, Montrreal L, Núñez-Llaves R, Sotolongo-Grau Ó, Alarcón-Martín E, Valero S, Alegret M, Martín E, Martino-Adami PV, Ettcheto M, Camins A, Vivas A, Gomez-Chiari M, Tejero MÁ, Orellana A, Tárraga L, Marquié M, Ramírez A, Martí M, Pividori MI, Boada M, Ruíz A.","J Nanobiotechnology. 2023 Feb 14;21(1):54. doi: 10.1186/s12951-023-01793-7.","Cano A","J Nanobiotechnology","2023","2023/02/15","PMC9930227","","10.1186/s12951-023-01793-7"
"29866458","Congophilic Fibrillary Glomerulonephritis: A Case Series","Alexander MP, Dasari S, Vrana JA, Riopel J, Valeri AM, Markowitz GS, Hever A, Bijol V, Larsen CP, Cornell LD, Fidler ME, Said SM, Sethi S, Herrera Hernandez LP, Grande JP, Erickson SB, Fervenza FC, Leung N, Kurtin PJ, Nasr SH.","Am J Kidney Dis. 2018 Sep;72(3):325-336. doi: 10.1053/j.ajkd.2018.03.017. Epub 2018 Jun 14.","Alexander MP","Am J Kidney Dis","2018","2018/06/06","","","10.1053/j.ajkd.2018.03.017"
"31642932","Association of Apolipoprotein E ɛ4, Educational Level, and Sex With Tau Deposition and Tau-Mediated Metabolic Dysfunction in Older Adults","Ramanan VK, Castillo AM, Knopman DS, Graff-Radford J, Lowe VJ, Petersen RC, Jack CR Jr, Mielke MM, Vemuri P.","JAMA Netw Open. 2019 Oct 2;2(10):e1913909. doi: 10.1001/jamanetworkopen.2019.13909.","Ramanan VK","JAMA Netw Open","2019","2019/10/24","PMC6820045","","10.1001/jamanetworkopen.2019.13909"
"28069318","Right Ventricular Hypertrophy, Systolic Function, and Disease Severity in Anderson-Fabry Disease: An Echocardiographic Study","Graziani F, Laurito M, Pieroni M, Pennestrì F, Lanza GA, Coluccia V, Camporeale A, Pedicino D, Verrecchia E, Manna R, Crea F.","J Am Soc Echocardiogr. 2017 Mar;30(3):282-291. doi: 10.1016/j.echo.2016.11.014. Epub 2017 Jan 6.","Graziani F","J Am Soc Echocardiogr","2017","2017/01/11","","","10.1016/j.echo.2016.11.014"
"29111120","Abnormal Coronary Flow Velocity Reserve and Decreased Myocardial Contractile Reserve Are Main Factors in Relation to Physical Exercise Capacity in Cardiac Amyloidosis","Clemmensen TS, Eiskjær H, Mølgaard H, Larsen AH, Soerensen J, Andersen NF, Tolbod LP, Harms HJ, Poulsen SH.","J Am Soc Echocardiogr. 2018 Jan;31(1):71-78. doi: 10.1016/j.echo.2017.09.007. Epub 2017 Oct 27.","Clemmensen TS","J Am Soc Echocardiogr","2018","2017/11/08","","","10.1016/j.echo.2017.09.007"
"40134188","Abnormal global longitudinal strain and reduced serum inflammatory markers in cardiac AL amyloidosis patients without significant amyloid fibril deposition","Edwards CV, Ferri GM, Villegas-Galaviz J, Ghosh S, Singh Bawa P, Wang F, Klimtchuk E, Ajayi TB, Morgan GJ, Prokaeva T, Staron A, Ruberg FL, Sanchorawala V, Giadone RM, Murphy GJ.","Amyloid. 2025 Jun;32(2):179-192. doi: 10.1080/13506129.2025.2478397. Epub 2025 Mar 25.","Edwards CV","Amyloid","2025","2025/03/26","","","10.1080/13506129.2025.2478397"
"39601438","Quantitative muscle MRI combined with AI-based segmentation as a follow-up biomarker for ATTRv patients: A longitudinal pilot study","Fortanier E, Michel CP, Hostin MA, Delmont E, Verschueren A, Guye M, Bellemare ME, Bendahan D, Attarian S.","Eur J Neurol. 2025 Jan;32(1):e16574. doi: 10.1111/ene.16574. Epub 2024 Nov 27.","Fortanier E","Eur J Neurol","2025","2024/11/27","PMC11625930","","10.1111/ene.16574"
"36671553","Novel Hominid-Specific IAPP Isoforms: Potential Biomarkers of Early Alzheimer's Disease and Inhibitors of Amyloid Formation","Liu QR, Zhu M, Chen Q, Mustapic M, Kapogiannis D, Egan JM.","Biomolecules. 2023 Jan 13;13(1):167. doi: 10.3390/biom13010167.","Liu QR","Biomolecules","2023","2023/01/21","PMC9856209","","10.3390/biom13010167"
"40207501","Value of Artificial Intelligence for Enhancing Suspicion of Cardiac Amyloidosis Using Electrocardiography and Echocardiography: A Narrative Review","Grogan M, Lopez-Jimenez F, Guthrie S, Kumar N, Langevin R, Lousada I, Witteles R, Royyuru A, Rosenzweig M, Cairns-Smith S, Ouyang D.","J Am Heart Assoc. 2025 Apr 15;14(8):e036533. doi: 10.1161/JAHA.124.036533. Epub 2025 Apr 10.","Grogan M","J Am Heart Assoc","2025","2025/04/10","PMC12132858","","10.1161/JAHA.124.036533"
"38955249","Advancements and challenges in cardiac amyloidosis imaging: A comprehensive review of novel techniques and clinical applications","Albulushi A, Al Hajri R, Hovseth C, Jawa Z, El Hadad MG, Sallam M, Al-Mukhaini M.","Curr Probl Cardiol. 2024 Sep;49(9):102733. doi: 10.1016/j.cpcardiol.2024.102733. Epub 2024 Jun 30.","Albulushi A","Curr Probl Cardiol","2024","2024/07/02","","","10.1016/j.cpcardiol.2024.102733"
"39075963","Examining the Difficulties in Identifying and Handling Cardiac Amyloidosis; Acquiring Important Knowledge and Robust Treatment Methods","Ali GMS, Seme WAE, Dudhat K.","Cardiovasc Hematol Disord Drug Targets. 2024;24(2):65-82. doi: 10.2174/011871529X301954240715041558.","Ali GMS","Cardiovasc Hematol Disord Drug Targets","2024","2024/07/30","","","10.2174/011871529X301954240715041558"
"31780812","IgM AL amyloidosis: delineating disease biology and outcomes with clinical, genomic and bone marrow morphological features","Sidana S, Larson DP, Greipp PT, He R, McPhail ED, Dispenzieri A, Murray DL, Dasari S, Ansell SM, Muchtar E, Gonsalves WI, Kourelis TV, Ramirez-Alvarado M, Kapoor P, Rajkumar SV, Lacy MQ, Buadi FK, Leung N, Kyle RA, Kumar SK, King RL, Gertz MA.","Leukemia. 2020 May;34(5):1373-1382. doi: 10.1038/s41375-019-0667-6. Epub 2019 Nov 28.","Sidana S","Leukemia","2020","2019/11/30","PMC8019395","NIHMS1685743","10.1038/s41375-019-0667-6"
"33212046","A multi-modal diagnostic model improves detection of cardiac amyloidosis among patients with diagnostic confirmation by cardiac biopsy","Zhang KW, Zhang R, Deych E, Stockerl-Goldstein KE, Gorcsan J 3rd, Lenihan DJ.","Am Heart J. 2021 Feb;232:137-145. doi: 10.1016/j.ahj.2020.11.006. Epub 2020 Nov 17.","Zhang KW","Am Heart J","2021","2020/11/19","","","10.1016/j.ahj.2020.11.006"
"41596468","Multimodal Diagnosis of Cardiac Amyloidosis: Integrating Imaging, Histochemistry, and Proteomics of Precise Typing","Kancerek J, Zniszczoł Ł, Lewandowski P, Wojnicz R.","Int J Mol Sci. 2026 Jan 14;27(2):820. doi: 10.3390/ijms27020820.","Kancerek J","Int J Mol Sci","2026","2026/01/28","PMC12840994","","10.3390/ijms27020820"
"35666874","Signatures of glial activity can be detected in the CSF proteome","Eninger T, Müller SA, Bacioglu M, Schweighauser M, Lambert M, Maia LF, Neher JJ, Hornfeck SM, Obermüller U, Kleinberger G, Haass C, Kahle PJ, Staufenbiel M, Ping L, Duong DM, Levey AI, Seyfried NT, Lichtenthaler SF, Jucker M, Kaeser SA.","Proc Natl Acad Sci U S A. 2022 Jun 14;119(24):e2119804119. doi: 10.1073/pnas.2119804119. Epub 2022 Jun 6.","Eninger T","Proc Natl Acad Sci U S A","2022","2022/06/06","PMC9214531","","10.1073/pnas.2119804119"
"40074840","Metabolomics and machine learning approaches for diagnostic biomarkers screening in systemic light chain amyloidosis","Xie W, Lai Z, Wang Q, Wang W, Wang J, Liu H, Liang Z, Dong Y.","Ann Hematol. 2025 Mar;104(3):1669-1678. doi: 10.1007/s00277-025-06302-4. Epub 2025 Mar 13.","Xie W","Ann Hematol","2025","2025/03/13","PMC12031920","","10.1007/s00277-025-06302-4"
"27194782","Prognostic value of left atrial function in systemic light-chain amyloidosis: a cardiac magnetic resonance study","Mohty D, Boulogne C, Magne J, Varroud-Vial N, Martin S, Ettaif H, Fadel BM, Bridoux F, Aboyans V, Damy T, Jaccard A.","Eur Heart J Cardiovasc Imaging. 2016 Sep;17(9):961-9. doi: 10.1093/ehjci/jew100. Epub 2016 May 18.","Mohty D","Eur Heart J Cardiovasc Imaging","2016","2016/05/20","","","10.1093/ehjci/jew100"
"41898867","Application of Omics Analysis in the Clinical Practice and Research of Transthyretin Amyloidosis","Moriyama H, Shaikh FA, Yokota T.","Genes (Basel). 2026 Mar 18;17(3):333. doi: 10.3390/genes17030333.","Moriyama H","Genes (Basel)","2026","2026/03/28","PMC13026856","","10.3390/genes17030333"
"39716014","Computational Tools and Methods for the Study of Systemic Amyloidosis at the Clinical and Molecular Level","Di Silvestre D, Brambilla F, Merlini G, Mauri P.","Methods Mol Biol. 2025;2884:369-387. doi: 10.1007/978-1-0716-4298-6_22.","Di Silvestre D","Methods Mol Biol","2025","2024/12/23","","","10.1007/978-1-0716-4298-6_22"
"33087017","Amyloid A amyloidosis in a patient with Caplan's syndrome, with special reference to genetic predisposition","Nakamura T, Shiraishi N, Morikami Y, Fujii H, Yoshinaga T.","Mod Rheumatol Case Rep. 2020 Jul;4(2):212-217. doi: 10.1080/24725625.2020.1749361. Epub 2020 Apr 20.","Nakamura T","Mod Rheumatol Case Rep","2020","2020/10/22","","","10.1080/24725625.2020.1749361"
"38745197","Proximity extension assay in cerebrospinal fluid identifies neurofilament light chain as biomarker of neurodegeneration in sporadic cerebral amyloid angiopathy","Vervuurt M, Kuiperij HB, de Kort AM, Kersten I, Klijn CJM, Schreuder FHBM, Verbeek MM.","Alzheimers Res Ther. 2024 May 14;16(1):108. doi: 10.1186/s13195-024-01473-0.","Vervuurt M","Alzheimers Res Ther","2024","2024/05/14","PMC11092079","","10.1186/s13195-024-01473-0"
"39711442","5-Hydroxymethylcytosine Profiles of cfDNA in Urine as Diagnostic, Differential Diagnosis and Prognostic Markers for Multiple Myeloma","Xie W, Li X, Chen H, Chu J, Zhang L, Tang B, Huang W, Li L, Lin J, Dong Y.","Cancer Med. 2024 Dec;13(24):e70477. doi: 10.1002/cam4.70477.","Xie W","Cancer Med","2024","2024/12/23","PMC11664239","","10.1002/cam4.70477"
